节次/周次,星期一,星期二,星期三,星期四,星期五
8:20-9:05,无,董蕾 中国近现代史纲要(1-13:教学2B401),李艳冰 高等数学A(1-16:教学2B405),杨维秀 大学英语(1-16:教学3A303),刘振 军事理论与国家安全(1-8:教学2C101)
9:10-9:55,无,董蕾 中国近现代史纲要(1-13:教学2B401),李艳冰 高等数学A(1-16:教学2B405),杨维秀 大学英语(1-16:教学3A303),刘振 军事理论与国家安全(1-8:教学2C101)
10:15-11:00,杨维秀 大学英语(1-16:教学2A303),杨恒云 线性代数(1-16:教学3D208),无,李艳冰 高等数学A(1-16:教学2B405),董蕾 中国近现代史纲要(1-8:教学2B405)
11:05-11:50,杨维秀 大学英语(1-16:教学2A303),杨恒云 线性代数(1-16:教学3D208),无,李艳冰 高等数学A(1-16:教学2B405),董蕾 中国近现代史纲要(1-8:教学2B405)
11:55-13:00,无,无,无,无,无
13:10-13:55,吴爱华 C语言程序设计(1-16:教学2A203),张爱萍 基础会计(1-12:教学2B403),龙海曌 外国建筑赏析(3:教学3A304);黄杰 思想道德与法治(11-12);董蕾 中国近现代史纲要(9-10),张爱萍 基础会计(1-12:教学2A304),黄杰 思想道德与法治(1-14:教学2A303)
14:00-14:45,吴爱华 C语言程序设计(1-16:教学2A203),张爱萍 基础会计(1-12:教学2B403),龙海曌 外国建筑赏析(3:教学3A304);黄杰 思想道德与法治(11-12);董蕾 中国近现代史纲要(9-10),张爱萍 基础会计(1-12:教学2A304),黄杰 思想道德与法治(1-14:教学2A303)
15:05-15:50,无,赵伟民 游泳救生(1-16),董蕾 中国近现代史纲要(9);黄杰 思想道德与法治(11),无,黄杰 思想道德与法治(1-14:教学2A303)
15:55-16:40,无,赵伟民 游泳救生(1-16),董蕾 中国近现代史纲要(9);黄杰 思想道德与法治(11),无,无
18:00-18:45,张晓燕 分析哲学(3 11-12:教学3A404),吴爱华 C语言程序设计(1-16:教学机房1),龙海曌 外国建筑赏析(11-12:教学2B103),施天舜 大学生职业生涯发展教育(1-11:教学3A304),无
18:50-19:35,张晓燕 分析哲学(3 11-12:教学3A404),吴爱华 C语言程序设计(1-16:教学机房1),龙海曌 外国建筑赏析(11-12:教学2B103),施天舜 大学生职业生涯发展教育(1-11:教学3A304),无
19:40-20:25,张晓燕 分析哲学(11-12:教学3A404),无,龙海曌 外国建筑赏析(11-12:教学2B103),施天舜 大学生职业生涯发展教育(1-10:教学3A304),无
